re im logn
0.450000 -3.354464 0.00000
0.486000 -3.354464 0.00000
0.522000 -3.354464 0.00000
0.558000 -3.354464 0.00000
0.594000 -3.354464 0.00000
0.630000 -3.354464 0.00000
0.666000 -3.354464 0.00000
0.702000 -3.354464 0.00000
0.738000 -3.354464 0.00000
0.774000 -3.354464 0.00000
0.810000 -3.354464 0.00000
0.846000 -3.354464 0.00000
0.882000 -3.354464 0.00000
0.918000 -3.354464 0.00000
0.954000 -3.354464 0.00000
0.990000 -3.354464 0.00000
1.026000 -3.354464 0.00000
1.062000 -3.354464 0.00000
1.098000 -3.354464 0.00000
1.134000 -3.354464 0.00000
1.170000 -3.354464 0.00000
1.206000 -3.354464 0.00000
1.242000 -3.354464 0.00000
1.278000 -3.354464 0.00000
1.314000 -3.354464 0.00000
1.350000 -3.354464 0.00000
1.386000 -3.354464 0.00000
1.422000 -3.354464 0.00000
1.458000 -3.354464 0.00000
1.494000 -3.354464 0.00000
1.530000 -3.354464 0.00000
1.566000 -3.354464 0.00000
1.602000 -3.354464 0.00000
1.638000 -3.354464 0.00000
1.674000 -3.354464 0.00000
1.710000 -3.354464 0.00000
1.746000 -3.354464 0.00000
1.782000 -3.354464 0.00000
1.818000 -3.354464 0.00000
1.854000 -3.354464 0.00000
1.890000 -3.354464 0.00000
1.926000 -3.354464 0.00000
1.962000 -3.354464 0.00000
1.998000 -3.354464 0.00000
2.034000 -3.354464 0.00000
2.070000 -3.354464 0.00000
2.106000 -3.354464 0.00000
2.142000 -3.354464 0.00000
2.178000 -3.354464 0.00000
2.214000 -3.354464 0.00000
2.250000 -3.354464 0.00000
2.286000 -3.354464 0.00000
2.322000 -3.354464 0.00000
2.358000 -3.354464 0.00000
2.394000 -3.354464 0.00000
2.430000 -3.354464 0.00000
2.466000 -3.354464 0.00000
2.502000 -3.354464 0.00000
2.538000 -3.354464 0.00000
2.574000 -3.354464 0.00000
2.610000 -3.354464 0.00000
2.646000 -3.354464 0.00000
2.682000 -3.354464 0.00000
2.718000 -3.354464 0.00000
2.754000 -3.354464 0.00000
2.790000 -3.354464 0.00000
2.826000 -3.354464 0.00000
2.862000 -3.354464 0.00000
2.898000 -3.354464 0.00000
2.934000 -3.354464 0.00000
2.970000 -3.354464 0.00000
3.006000 -3.354464 0.00000
