re im logsig
2.5994126156 -1.6730379311 -6.223050
2.6094126156 -1.6730379311 -6.227920
2.6194126156 -1.6730379311 -6.232230
2.6294126156 -1.6730379311 -6.235970
2.6394126156 -1.6730379311 -6.239090
2.6494126156 -1.6730379311 -6.241590
2.6594126156 -1.6730379311 -6.243420
2.6694126156 -1.6730379311 -6.244570
2.6794126156 -1.6730379311 -6.244990
2.6894126156 -1.6730379311 -6.244680
2.6994126156 -1.6730379311 -6.243590
2.7094126156 -1.6730379311 -6.241690
2.7194126156 -1.6730379311 -6.238980
2.7294126156 -1.6730379311 -6.235420
2.7394126156 -1.6730379311 -6.230990
2.7494126156 -1.6730379311 -6.225680
2.7594126156 -1.6730379311 -6.219470
2.7694126156 -1.6730379311 -6.212370
2.7794126156 -1.6730379311 -6.204370
2.7894126156 -1.6730379311 -6.195470
2.7994126156 -1.6730379311 -6.185690
2.8094126156 -1.6730379311 -6.175050
2.8194126156 -1.6730379311 -6.163560
2.8294126156 -1.6730379311 -6.151250
2.8394126156 -1.6730379311 -6.138160
2.8494126156 -1.6730379311 -6.124320
2.8594126156 -1.6730379311 -6.109780
2.8694126156 -1.6730379311 -6.094560
2.8794126156 -1.6730379311 -6.078730
2.8894126156 -1.6730379311 -6.062320
2.8994126156 -1.6730379311 -6.045380
2.9094126156 -1.6730379311 -6.027950
2.9194126156 -1.6730379311 -6.010080
2.9294126156 -1.6730379311 -5.991810
2.9394126156 -1.6730379311 -5.973190
2.9494126156 -1.6730379311 -5.954250
2.9594126156 -1.6730379311 -5.935040
2.9694126156 -1.6730379311 -5.915580
2.9794126156 -1.6730379311 -5.895910
2.9894126156 -1.6730379311 -5.876060
2.9994126156 -1.6730379311 -5.856060
3.0094126156 -1.6730379311 -5.835930
3.0194126156 -1.6730379311 -5.815710
3.0294126156 -1.6730379311 -5.795400
3.0394126156 -1.6730379311 -5.775030
3.0494126156 -1.6730379311 -5.754620
3.0594126156 -1.6730379311 -5.734190
2.4594126156 -1.6630379311 -6.087540
2.4694126156 -1.6630379311 -6.098130
2.4794126156 -1.6630379311 -6.108470
2.4894126156 -1.6630379311 -6.118530
2.4994126156 -1.6630379311 -6.128320
2.5094126156 -1.6630379311 -6.137800
2.5194126156 -1.6630379311 -6.146960
2.5294126156 -1.6630379311 -6.155790
2.5394126156 -1.6630379311 -6.164270
2.5494126156 -1.6630379311 -6.172370
2.5594126156 -1.6630379311 -6.180080
2.5694126156 -1.6630379311 -6.187370
2.5794126156 -1.6630379311 -6.194230
2.5894126156 -1.6630379311 -6.200640
2.5994126156 -1.6630379311 -6.206560
2.6094126156 -1.6630379311 -6.211970
2.6194126156 -1.6630379311 -6.216860
2.6294126156 -1.6630379311 -6.221180
2.6394126156 -1.6630379311 -6.224910
2.6494126156 -1.6630379311 -6.228020
2.6594126156 -1.6630379311 -6.230480
2.6694126156 -1.6630379311 -6.232250
2.6794126156 -1.6630379311 -6.233300
2.6894126156 -1.6630379311 -6.233610
2.6994126156 -1.6630379311 -6.233120
2.7094126156 -1.6630379311 -6.231810
2.7194126156 -1.6630379311 -6.229660
