re im
2.93356063 -1.22303793
2.93941262 -1.22763000
2.94579723 -1.23303793
2.94941262 -1.23614128
2.95693558 -1.24303793
2.95941262 -1.24535080
2.96719072 -1.25303793
2.96941262 -1.25528531
2.97671713 -1.26303793
2.97941262 -1.26597796
2.98563393 -1.27303793
2.98941262 -1.27745971
2.99402538 -1.28303793
2.99941262 -1.28976977
3.00196008 -1.29303793
3.00941262 -1.30293951
3.00948521 -1.30303793
3.01666139 -1.31303793
3.01941262 -1.31702257
3.02351576 -1.32303793
3.02941262 -1.33202258
3.03007422 -1.33303793
3.03639332 -1.34303793
3.03941262 -1.34799974
3.04247598 -1.35303793
3.04834455 -1.36303793
3.04941262 -1.36491618
3.05405271 -1.37303793
3.05941262 -1.38275181
nan nan
2.45941262 -1.22405827
2.46098252 -1.22303793
2.46941262 -1.21759191
2.47650913 -1.21303793
2.47941262 -1.21118507
2.48941262 -1.20483631
2.49226552 -1.20303793
2.49941262 -1.19855739
2.50830696 -1.19303793
2.50941262 -1.19235441
2.51941262 -1.18623224
2.52469882 -1.18303793
2.52941262 -1.18019785
2.53941262 -1.17425702
2.54149483 -1.17303793
2.54941262 -1.16840801
2.55876857 -1.16303793
2.55941262 -1.16266796
2.56941262 -1.15702061
2.57662008 -1.15303793
2.57941262 -1.15148973
2.58941262 -1.14606142
2.59512312 -1.14303793
2.59941262 -1.14075174
2.60941262 -1.13554641
2.61436608 -1.13303793
2.61941262 -1.13045564
2.62941262 -1.12548080
2.63447134 -1.12303793
nan nan
2.97766745 -1.12303793
2.97941262 -1.12497747
2.98618082 -1.13303793
2.98941262 -1.13675947
2.99454918 -1.14303793
2.99941262 -1.14883103
3.00276306 -1.15303793
3.00941262 -1.16120362
3.01083907 -1.16303793
3.01875827 -1.17303793
3.01941262 -1.17385187
3.02650734 -1.18303793
3.02941262 -1.18676841
3.03412779 -1.19303793
3.03941262 -1.20003587
3.04161120 -1.20303793
3.04895207 -1.21303793
3.04941262 -1.21366411
3.05613347 -1.22303793
3.05941262 -1.22763319
