re im
1.80007884 -0.08500000
1.80500000 -0.08635311
1.81500000 -0.08949825
1.82500000 -0.09309358
1.82975749 -0.09500000
1.83500000 -0.09710330
1.84500000 -0.10155425
1.85200883 -0.10500000
1.85500000 -0.10648528
1.86500000 -0.11188846
1.87028997 -0.11500000
1.87500000 -0.11782353
1.88500000 -0.12431362
1.88599700 -0.12500000
1.89500000 -0.13137341
1.89979252 -0.13500000
1.90500000 -0.13907608
1.91213480 -0.14500000
1.91500000 -0.14747677
1.92327997 -0.15500000
1.92500000 -0.15663767
1.93342961 -0.16500000
1.93500000 -0.16664172
1.94272183 -0.17500000
1.94500000 -0.17760854
1.95127967 -0.18500000
1.95500000 -0.18966540
1.95916889 -0.19500000
1.96500000 -0.20298377
1.96645109 -0.20500000
1.97321060 -0.21500000
1.97500000 -0.21783857
1.97948911 -0.22500000
1.98500000 -0.23451699
1.98527930 -0.23500000
1.99070411 -0.24500000
1.99500000 -0.25362724
1.99568828 -0.25500000
2.00036401 -0.26500000
2.00463939 -0.27500000
2.00500000 -0.27590940
2.00866081 -0.28500000
2.01234846 -0.29500000
2.01500000 -0.30284980
2.01574064 -0.30500000
2.01891081 -0.31500000
2.02180645 -0.32500000
2.02444311 -0.33500000
2.02500000 -0.33731111
