re im logsig
1.6350000000 -0.6150000000 -3.277440
1.6450000000 -0.6150000000 -3.281470
1.6550000000 -0.6150000000 -3.284830
1.6650000000 -0.6150000000 -3.287470
1.6750000000 -0.6150000000 -3.289410
1.6850000000 -0.6150000000 -3.290610
1.6950000000 -0.6150000000 -3.291080
1.7050000000 -0.6150000000 -3.290810
1.7150000000 -0.6150000000 -3.289830
1.7250000000 -0.6150000000 -3.288260
1.7350000000 -0.6150000000 -3.285960
1.7450000000 -0.6150000000 -3.282940
1.7550000000 -0.6150000000 -3.279220
1.7650000000 -0.6150000000 -3.274810
1.7750000000 -0.6150000000 -3.269760
1.7850000000 -0.6150000000 -3.264080
1.7950000000 -0.6150000000 -3.257800
1.8050000000 -0.6150000000 -3.250970
1.8150000000 -0.6150000000 -3.243610
1.8250000000 -0.6150000000 -3.235760
1.8350000000 -0.6150000000 -3.227450
1.8450000000 -0.6150000000 -3.218730
1.8550000000 -0.6150000000 -3.209630
1.8650000000 -0.6150000000 -3.200180
1.8750000000 -0.6150000000 -3.190420
1.8850000000 -0.6150000000 -3.180380
1.8950000000 -0.6150000000 -3.170100
1.9050000000 -0.6150000000 -3.159600
1.9150000000 -0.6150000000 -3.148910
1.9250000000 -0.6150000000 -3.138060
1.9350000000 -0.6150000000 -3.127070
1.9450000000 -0.6150000000 -3.115980
1.9550000000 -0.6150000000 -3.104790
1.9650000000 -0.6150000000 -3.093530
1.9750000000 -0.6150000000 -3.082220
1.9850000000 -0.6150000000 -3.070880
1.9950000000 -0.6150000000 -3.059520
2.0050000000 -0.6150000000 -3.048150
2.0150000000 -0.6150000000 -3.036780
2.0250000000 -0.6150000000 -3.025440
1.4250000000 -0.6050000000 -3.070040
1.4350000000 -0.6050000000 -3.082720
1.4450000000 -0.6050000000 -3.095240
1.4550000000 -0.6050000000 -3.107590
1.4650000000 -0.6050000000 -3.119740
1.4750000000 -0.6050000000 -3.131680
1.4850000000 -0.6050000000 -3.143400
1.4950000000 -0.6050000000 -3.154860
1.5050000000 -0.6050000000 -3.166040
1.5150000000 -0.6050000000 -3.176930
1.5250000000 -0.6050000000 -3.187490
1.5350000000 -0.6050000000 -3.197710
1.5450000000 -0.6050000000 -3.207540
1.5550000000 -0.6050000000 -3.216970
1.5650000000 -0.6050000000 -3.225960
1.5750000000 -0.6050000000 -3.234500
1.5850000000 -0.6050000000 -3.242530
1.5950000000 -0.6050000000 -3.250040
1.6050000000 -0.6050000000 -3.256990
1.6150000000 -0.6050000000 -3.263350
1.6250000000 -0.6050000000 -3.269090
1.6350000000 -0.6050000000 -3.274180
1.6450000000 -0.6050000000 -3.278610
1.6550000000 -0.6050000000 -3.282330
1.6650000000 -0.6050000000 -3.285330
1.6750000000 -0.6050000000 -3.287590
1.6850000000 -0.6050000000 -3.289100
1.6950000000 -0.6050000000 -3.289850
1.7050000000 -0.6050000000 -3.289820
1.7150000000 -0.6050000000 -3.289020
1.7250000000 -0.6050000000 -3.287490
1.7350000000 -0.6050000000 -3.285330
1.7450000000 -0.6050000000 -3.282420
1.7550000000 -0.6050000000 -3.278770
1.7650000000 -0.6050000000 -3.274410
1.7750000000 -0.6050000000 -3.269370
1.7850000000 -0.6050000000 -3.263670
1.7950000000 -0.6050000000 -3.257360
1.8050000000 -0.6050000000 -3.250460
1.8150000000 -0.6050000000 -3.243020
1.8250000000 -0.6050000000 -3.235070
1.8350000000 -0.6050000000 -3.226650
1.8450000000 -0.6050000000 -3.217810
1.8550000000 -0.6050000000 -3.208570
1.8650000000 -0.6050000000 -3.198990
1.8750000000 -0.6050000000 -3.189080
1.8850000000 -0.6050000000 -3.178900
1.8950000000 -0.6050000000 -3.168480
